state,year,net in,net out,net total
Utah,2015,0.03303258473588623,0.02888599051278122,0.00414659422310501
Vermont,2015,0.03424781273388908,0.03590307548323577,-0.0016552627493466934
Virginia,2015,0.033525328001118335,0.03273718255928071,0.000788145441837626
Washington,2015,0.0325719201883782,0.02559704525951835,0.006974874928859849
West Virginia,2015,0.023072203308233077,0.028389757108095066,-0.005317553799861988
Wisconsin,2015,0.01865929388260855,0.019195123686894734,-0.0005358298042861843
Wyoming,2015,0.06207369340806974,0.055149270435500344,0.006924422972569393
Alabama,2016,0.02540889781265605,0.02093410029389723,0.00447479751875882
Alaska,2016,0.04277358696840494,0.057167702707293044,-0.014394115738888102
Arizona,2016,0.03988084361622199,0.028599808871102333,0.011281034745119656
Arkansas,2016,0.024098791382028376,0.024488118334931697,-0.0003893269529033211
California,2016,0.013272624942256277,0.017043124970426086,-0.0037705000281698098
Colorado,2016,0.0407637274033911,0.035681658409614556,0.005082068993776542
Connecticut,2016,0.021341379055260127,0.031782856274295106,-0.010441477219034979
Delaware,2016,0.03545372810811901,0.030850045295105124,0.004603682813013887
District of Columbia,2016,0.08653585745704753,0.09049850230501671,-0.003962644847969182
Florida,2016,0.029655455522429028,0.021675666022958947,0.007979789499470081
Georgia,2016,0.029965048635246457,0.025728454721836456,0.004236593913410001
Hawaii,2016,0.04058051789105256,0.04580854558457174,-0.005228027693519176
Idaho,2016,0.04300871041186328,0.034018871043397056,0.008989839368466222
Illinois,2016,0.016098523313552195,0.027142660869684074,-0.01104413755613188
Indiana,2016,0.02224292517459343,0.021078478595547363,0.0011644465790460676
Iowa,2016,0.02526827545303416,0.024974571015628447,0.00029370443740571114
Kansas,2016,0.030945515617504648,0.03248734837563258,-0.0015418327581279319
Kentucky,2016,0.025822690938843793,0.023731113195137155,0.0020915777437066387
Louisiana,2016,0.01847040766829899,0.019985297723271588,-0.0015148900549725973
Maine,2016,0.029250537409459012,0.025187822028363324,0.004062715381095688
Maryland,2016,0.02666530634335345,0.03137039288754827,-0.004705086544194818
Massachusetts,2016,0.022149478440327327,0.026399305901227643,-0.004249827460900316
Michigan,2016,0.01588318946068851,0.01602086357981675,-0.00013767411912823935
Minnesota,2016,0.020401202073936784,0.022366368934067748,-0.001965166860130964
Mississippi,2016,0.0219034990906722,0.02620230086957874,-0.004298801778906541
Missouri,2016,0.027034961679063926,0.026544378123938468,0.0004905835551254588
Montana,2016,0.036575541685950924,0.03077267479542071,0.005802866890530216
Nebraska,2016,0.02732254657095349,0.025395194520254724,0.0019273520506987649
Nevada,2016,0.04055354162001594,0.03092899075584177,0.009624550864174169
New Hampshire,2016,0.03967699895847594,0.03487581967119137,0.004801179287284574
New Jersey,2016,0.016307539092162184,0.025586690183455316,-0.009279151091293132
New Mexico,2016,0.031490040367236405,0.03202005440352651,-0.0005300140362901051
New York,2016,0.0133523038476593,0.023025110196852785,-0.009672806349193486
North Carolina,2016,0.03298271292223292,0.02589505499657391,0.0070876579256590085
North Dakota,2016,0.0397375752240138,0.05024020790891711,-0.010502632684903312
Ohio,2016,0.01701796032521866,0.01851900048873721,-0.0015010401635185515
Oklahoma,2016,0.026334596016969806,0.027365829495229463,-0.001031233478259657
Oregon,2016,0.034384600445039895,0.02683972948145269,0.007544870963587205
Pennsylvania,2016,0.019932793446645378,0.020488262039174646,-0.0005554685925292686
Rhode Island,2016,0.03136681868735602,0.03420677199168032,-0.002839953304324301
