,state,year,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income
116,Indiana,2012,-0.0016691185626085576,0.275606386,37,0.507292116,0.2005732,0.136302046,0.161428497,0.044304758,0.279209537,20000
117,Iowa,2012,0.000696462163467592,0.243629696,38,0.504192655,0.201361921,0.152613407,0.188970999,0.026225479,0.256120482,24000
118,Kansas,2012,-0.001840596235481759,0.298492501,36,0.501778125,0.207083393,0.135795877,0.203294634,0.033278642,0.255476185,22000
119,Kentucky,2012,0.002107152652802473,0.301514811,38,0.508076518,0.200053876,0.140032166,0.151999069,0.04506605,0.317055119,18000
120,Louisiana,2012,-0.0010872538320720916,0.318072802,36,0.511598596,0.214333536,0.130124929,0.153068748,0.042124839,0.301850565,17000
121,Maine,2012,-0.008249946881350782,0.249162649,43,0.509129607,0.171845001,0.169905476,0.206885085,0.042741756,0.299498492,20300
122,Maryland,2012,-0.0006504210899166349,0.304638934,38,0.516138412,0.205992357,0.129529245,0.262399264,0.04506231,0.246133145,28000
123,Massachusetts,2012,-0.002528949297351972,0.323060409,39,0.516453601,0.204553197,0.144239427,0.286062866,0.047931101,0.265629514,25000
124,Michigan,2012,-0.004277199170176521,0.26174297,39,0.509082842,0.190704477,0.14612996,0.184625067,0.057125411,0.310615722,19000
125,Minnesota,2012,-0.00284500079485037,0.244996829,37,0.503169559,0.203728143,0.135188178,0.230962985,0.03572635,0.233627538,26000
126,Mississippi,2012,0.00213363431767212,0.309619066,36,0.51706709,0.200189887,0.13436715,0.136993346,0.05252626,0.320536925,15000
127,Missouri,2012,0.003216902167069661,0.291076468,38,0.509975277,0.201871043,0.147174986,0.182627896,0.042512705,0.289308282,20000
128,Montana,2012,0.003677503270862151,0.297514478,40,0.501135662,0.191963118,0.157893271,0.204122606,0.038836342,0.28860528,20000
129,Nebraska,2012,-0.0030674261012341927,0.293754598,36,0.505301734,0.203911022,0.138359763,0.20361461,0.027995311,0.226970803,24000
130,Nevada,2012,0.00878307158440457,0.45062816,36,0.494538283,0.209925873,0.130625231,0.1564577,0.060452762,0.27227466,21000
131,New Hampshire,2012,0.00859161172305347,0.244535927,42,0.510183855,0.176134497,0.147727221,0.25586007,0.03462662,0.258371583,26000
132,New Jersey,2012,-0.010053286447752503,0.315686907,39,0.513094119,0.189085677,0.140807415,0.259746136,0.053317412,0.270199975,25000
133,New Mexico,2012,-0.0044947359407598066,0.30226637,36,0.50274078,0.201151933,0.140504273,0.176596159,0.047676427,0.310378425,17100
134,New York,2012,-0.00704069984822351,0.422306631,38,0.515145148,0.214366993,0.14063047,0.242591604,0.047625936,0.293083368,21000
135,North Carolina,2012,0.0033572034481944776,0.327177719,37,0.51272268,0.199613662,0.137708772,0.190206021,0.052332053,0.291903168,19000
136,North Dakota,2012,0.01975314279871692,0.282275724,36,0.486524267,0.233406896,0.143304728,0.201281252,0.018692791,0.240615013,25600
137,Ohio,2012,-0.0003064440083059457,0.304477607,39,0.511873686,0.191954072,0.14786744,0.178630527,0.04537784,0.293519747,20000
138,Oklahoma,2012,0.001547871381513407,0.318030209,36,0.504759071,0.206912515,0.139953654,0.163234176,0.030738541,0.298627196,19200
139,Oregon,2012,0.0025639901315491487,0.367631502,38,0.503087051,0.204089242,0.149407607,0.214034739,0.055529212,0.302978468,20000
140,Pennsylvania,2012,-0.0017644805890769596,0.269168278,40,0.511393081,0.193107067,0.160252692,0.205131634,0.045862369,0.301146093,21000
141,Rhode Island,2012,0.0025684767586438804,0.350631063,39,0.517670324,0.204754487,0.151493109,0.226034284,0.05258252,0.27661736,22000
142,South Carolina,2012,0.005992346392733085,0.307421498,38,0.513881741,0.199839195,0.147320027,0.176559464,0.052654231,0.309089674,18000
143,South Dakota,2012,0.004027170618936295,0.286438896,36,0.499793605,0.205509303,0.143833233,0.180204331,0.025871358,0.240960024,23000
144,Tennessee,2012,0.0019383455988697222,0.30886957,38,0.512818833,0.200048542,0.142639922,0.17370892,0.045811318,0.309748255,18000
145,Texas,2012,0.00392148416806147,0.344692353,33,0.503335616,0.21747058,0.10888422,0.177681221,0.038952151,0.267790884,18900
146,Utah,2012,0.0017672781434176742,0.275079178,29,0.495801998,0.239816873,0.094884332,0.18466655,0.034125816,0.224660078,20000
147,Vermont,2012,0.006701355632535953,0.24918412,42,0.50516205,0.189627658,0.160537115,0.254853349,0.035579247,0.2681135,24000
148,Virginia,2012,0.0012249655228272587,0.313244645,37,0.510192628,0.21033728,0.129833773,0.251846139,0.036275327,0.267406617,24000
149,Washington,2012,0.004815806207829738,0.346430309,37,0.501446133,0.211098226,0.131366743,0.224508091,0.04307155,0.28041926,23400
150,West Virginia,2012,-0.00020066540990348533,0.248357643,41,0.507889079,0.186139151,0.167107808,0.134431525,0.035050417,0.371815332,17000
151,Wisconsin,2012,0.00020036040902380106,0.282638231,39,0.503912407,0.195223769,0.143432748,0.193838081,0.039384095,0.261663615,23000
152,Wyoming,2012,-0.001988943446486695,0.296921299,37,0.493416168,0.214808158,0.130665219,0.177140656,0.031496568,0.246710686,23400
153,Alabama,2013,0.0013463881866655723,0.303936387,38,0.51565812,0.199868755,0.149131042,0.165050452,0.044656271,0.332890679,17300
154,Alaska,2013,-0.08013407859358848,0.340050494,33,0.47627909,0.239867126,0.091552265,0.187853338,0.046699096,0.214342458,29600
155,Arizona,2013,0.007670688059779711,0.373084998,36,0.501817366,0.206472104,0.153436803,0.187801662,0.040491357,0.319228766,19000
156,Arkansas,2013,-0.002196567654865096,0.326229914,37,0.506247776,0.199394939,0.15315947,0.143226623,0.037164291,0.325487527,17000
157,California,2013,-0.0026196960490000934,0.44456163,35,0.502804968,0.221720742,0.125344456,0.213630249,0.049715045,0.287903371,19000
158,Colorado,2013,0.007256975948534805,0.334269993,36,0.496662248,0.217534959,0.12251823,0.262348466,0.037140541,0.251726009,24400
159,Connecticut,2013,-0.0010427366456534914,0.296561256,40,0.51284482,0.188278348,0.151392071,0.270439479,0.050144046,0.262129875,25400
160,Delaware,2013,0.012647833743890204,0.265001637,38,0.514895506,0.200100675,0.157676649,0.214941631,0.046858274,0.296748903,23500
161,District of Columbia ,2013,-0.01660149909876822,0.544923111,33,0.528564512,0.3181442,0.113487684,0.414335856,0.059805182,0.267710214,30000
162,Florida,2013,0.00512758127011333,0.35066021,41,0.51088383,0.190949764,0.186132412,0.198455162,0.046694755,0.335545439,18400
163,Georgia,2013,0.0007145516204290214,0.354850855,35,0.511780478,0.207715003,0.119332373,0.192757287,0.049753372,0.287893907,18000
164,Hawaii,2013,-0.0021193956388999846,0.399914106,38,0.494694648,0.220182415,0.156879294,0.223630288,0.027064486,0.281161551,24900
165,Idaho,2013,-0.0015342759339855294,0.301944749,35,0.499367919,0.199659954,0.138189334,0.174540485,0.035813976,0.283262082,19000
166,Illinois,2013,-0.00633794362010166,0.305732008,37,0.509246876,0.208997111,0.134970872,0.227188739,0.048855256,0.269336799,21700
167,Indiana,2013,-0.00037281087443778727,0.284436596,37,0.508763637,0.200282244,0.139446152,0.164638279,0.038503542,0.285733526,20000
168,Iowa,2013,-0.000685269949537104,0.253756776,38,0.505591157,0.199786695,0.155034791,0.183803734,0.02438895,0.262940329,24000
169,Kansas,2013,-0.0016147609688730857,0.30063059,36,0.502103867,0.207831008,0.141101613,0.210642383,0.03048594,0.25971775,22100
170,Kentucky,2013,0.0009162269023682036,0.298158144,38,0.507861247,0.197763973,0.144679254,0.159087615,0.039388255,0.321851434,18000
171,Louisiana,2013,-0.0017523769122378512,0.312987653,36,0.51193349,0.217770086,0.131119,0.156128999,0.038012786,0.309846567,17600
172,Maine,2013,0.00582744056347077,0.264599466,43,0.509680028,0.174289431,0.176946207,0.20788119,0.034574969,0.305078213,21000
173,Maryland,2013,-0.0038477711496255514,0.303530521,38,0.514223081,0.205584287,0.133800285,0.264955858,0.039775915,0.25050828,28500
174,Massachusetts,2013,-0.0032178369885114515,0.329689231,39,0.515616577,0.208834417,0.148333349,0.292675708,0.042936285,0.266558182,25300
175,Michigan,2013,-0.002386712930107563,0.265991668,39,0.509213873,0.192544036,0.149868902,0.19031598,0.048411409,0.309749705,20000
176,Minnesota,2013,-0.0027425239721834173,0.238814253,37,0.506819079,0.203015656,0.139613828,0.235815017,0.030495648,0.238047148,26000
177,Mississippi,2013,-0.0013235947608026474,0.323734533,36,0.514844008,0.199866141,0.139133133,0.138178668,0.047403272,0.328509194,15000
178,Missouri,2013,0.0034129904259544153,0.296053007,38,0.509888618,0.204312055,0.150597658,0.19200102,0.037597216,0.287934772,20000
179,Montana,2013,0.007982131979560138,0.308428679,39,0.500904779,0.194523058,0.161927371,0.205001157,0.037388011,0.296213916,20000
180,Nebraska,2013,-0.0011253704861307716,0.292178392,36,0.504591879,0.207495681,0.141648238,0.206535026,0.023851013,0.23299078,24000
181,Nevada,2013,0.008737033702502221,0.451809876,37,0.497014841,0.208592341,0.136408404,0.155192793,0.055060398,0.281686269,20300
182,New Hampshire,2013,-0.001067374110695997,0.257704999,42,0.507956045,0.180337283,0.153215929,0.257367247,0.030523046,0.266403417,25800
